//
// Diálogos que no son específicos de una raza
//

DIPLO_TECH_REQUEST_MENU_01   | [cite_start]¿Qué tipo de tecnología te interesa? [cite: 1]
DIPLO_TECH_COUNTER_MENU_01   | [cite_start]¿Qué darás a cambio de ello? [cite: 2]
DIPLO_TRADE_MENU_01          | [cite_start]Propones un acuerdo comercial por: [cite: 3]
DIPLO_TREATY_MENU_01         | [cite_start]¿Qué deseas hacer? [cite: 4]
DIPLO_THREATEN_MENU_01       | [cite_start]¿Con qué estás amenazando? [cite: 4]
DIPLO_DECLARE_WAR_MENU_01    | [cite_start]¿Estás seguro de que quieres comenzar una guerra? [cite: 5]
DIPLO_JOINT_WAR_MENU_01      | [cite_start]¿A quién deberíamos declarar la guerra? [cite: 6]
DIPLO_BREAK_ALLIANCE_MENU_01 | [cite_start]¿Qué alianza deberíamos romper? [cite: 6]
DIPLO_OFFER_AID_MENU_01      | [cite_start]¿Qué quieres dar? [cite: 7]
DIPLO_OFFER_TECH_MENU_01     | [cite_start]¿Qué quieres dar? [cite: 8]

DECLINE_OFFER_01           | [cite_start][my_nameTitle] [my_name] declina. [cite: 9]
DECLINE_OFFER_02           | [cite_start]Los [my_race] han considerado tu oferta y la han rechazado. [cite: 10]
DECLINE_OFFER_03           | [cite_start]Declinamos respetuosamente tu oferta. [cite: 11]
DECLINE_OFFER_04           | [cite_start]No estamos interesados en este momento. [cite: 12]
DECLINE_OFFER_05           | [cite_start]Los [my_race] no consideran que tu oferta sea justa. [cite: 13]
DECLINE_OFFER_06           | [cite_start]No sería en nuestro mejor interés aceptar tu oferta en este momento. [cite: 15]
DECLINE_OFFER_07           | Quizás nos confundiste con tontos ingenuos. [cite_start]Rechazamos tu oferta. [cite: 16, 17]
DECLINE_OFFER_08           | [cite_start]Tu oferta no nos parece justa. [cite: 18]
DECLINE_OFFER_09           | [cite_start]Tememos que debemos declinar. [cite: 19]

DECLINE_ENEMY_ALLY_01      | [cite_start]Los [my_race] nunca negociarían con aliados de los odiados [other_race]. [cite: 20]
DECLINE_ALREADY_ALLIED_01  | [cite_start]Los [my_race] y nuestros aliados no pueden considerar tu petición mientras estés aliado con otros imperios. [cite: 21]
DECLINE_NO_WAR_ON_ALLY_01  | [cite_start]No declararemos la guerra a nuestros aliados. [cite: 22]
DECLINE_PEACE_TREATY_01    | [cite_start]No romperemos nuestro tratado de paz con los [other_race]. [cite: 23]

DECLINE_ANNOYED_01         | Los [your_race] son criaturas de mucho viento y poca acción. [cite_start]Nos cansa tu palabrería. [cite: 24]
DECLINE_ANNOYED_01         | [your_nameTitle] [your_name], pones a prueba nuestra paciencia. [cite_start]Quizás deberías hablar de nuevo más tarde. [cite: 25, 26]
DECLINE_ANNOYED_01         | [my_nameTitle] [my_name] ha oído suficiente. [cite_start]Hablaremos de nuevo más tarde. [cite: 27]
DECLINE_ANNOYED_02         | Nos cansan las negociaciones diplomáticas. [cite_start]Podemos continuar las discusiones en otro momento. [cite: 28]
DECLINE_ANNOYED_02         | Estas charlas no nos llevan a ninguna parte. [cite_start]Debemos retirarnos. [cite: 29]
DECLINE_ANNOYED_02         | [cite_start]Nos vamos ahora. [cite: 30]
DECLINE_ANNOYED_03         | [cite_start]Mil disculpas, [your_nameTitle] [your_name], pero otros deberes nos llaman. [cite: 31]
DECLINE_ANNOYED_03         | [cite_start]Perdónanos, pero nuestro tiempo se ha agotado. [cite: 32]
DECLINE_ANNOYED_03         | Tenemos poco tiempo y mucho por hacer. [cite_start]Quizás podamos hablar de nuevo más tarde. [cite: 33, 34]

DECLINE_OATHBREAKER_01     | [cite_start]No estamos dispuestos a entablar un tratado en este momento porque has roto tratados en el pasado. [cite: 35]
DECLINE_OATHBREAKER_01     | No has honrado tus acuerdos pasados. [cite_start]Vemos pocas razones para confiar en ti ahora. [cite: 36, 37]
DECLINE_OATHBREAKER_01     | [cite_start]¿Por qué deberíamos confiar en ti ahora, cuando has roto tantos tratados pasados? [cite: 38]
DECLINE_OATHBREAKER_01     | [cite_start]No vemos razón para estar de acuerdo con alguien que no ha cumplido sus promesas pasadas. [cite: 39]
DECLINE_OATHBREAKER_01     | [cite_start]No negociaremos con [your_race] que no tienen honor. [cite: 40]
