// race-specific variables (must start with _)
_empire                           | Fiershan Clan, Prrshan Clan, Mewshan Clan, Clawshan Clan, Hisshan Clan
_race                             | Fiershan, Prrshan, Mewshan, Clawshan, Hisshan
_race_plural                      | Fiershan, Prrshan, Mewshan, Clawshan, Hisshan
_title                            | Khan
_nameTitle                        | Khan



// Advisor text
MAIN_ADVISOR_TITLE                | Consejero Fiershan
MAIN_ADVISOR_BUTTON_OK            | Descartar
MAIN_ADVISOR_SCOUT                | ¡Ajá! ¡Nuestra primera flota está lista! Usémosla para encontrar un mundo con enemigos que tengan mucho tesoro para tomar.
MAIN_ADVISOR_TRANSPORT            | Hemos tomado nuevo territorio en %1. Cuantos más transportemos desde %3, más rápido encontraremos cualquier botín que tenga este mundo.
MAIN_ADVISOR_DIPLOMACY            | ¡Hemos hecho contacto con una nueva raza alienígena! ¿Crees que resultarán ser enemigos fuertes o sus tesoros serán presa fácil?
MAIN_ADVISOR_SHIP_ENGINE          | ¡Hemos encontrado una forma de mejorar nuestros motores y hacer que nuestras naves sean aún más rápidas! Si los incorporamos a nuestros diseños de naves, ¡nuestras incursiones en mundos enemigos serán aún más eficientes!
MAIN_ADVISOR_RALLY_POINTS         | ¡Khan! ¡La guerra está sobre nosotros! Los Kanatos honrarán su promesa de unirse a usted en este momento, así que establezca un punto de reunión para decirles adónde enviar sus flotas.
MAIN_ADVISOR_MISSILE_BASES        | ¡Los mundos del borde bajo nuestro control son vulnerables a los ataques enemigos! Construyamos bases de misiles para evitar que caigan en manos enemigas.
MAIN_ADVISOR_SHIP_WEAPON          | Hemos logrado desarrollar armas nuevas y poderosas para usar en nuestras naves. Estas seguramente causarán una desbandada entre las fuerzas de nuestros enemigos una vez que las incluyamos en nuestros diseños de naves.
MAIN_ADVISOR_COUNCIL              | Pronto tendremos una reunión de pueblos, pero dicen que es para diplomacia en lugar de guerra. Extraño, ¿no? Aún así, deberíamos asistir a este "Consejo Galáctico", aunque solo sea para apaciguar a los imperios más asustadizos.
MAIN_ADVISOR_REBELLION            | ¿No se siente bien, Khan? Hay una rebelión en %1 y no ha dado órdenes de reprimirla.
MAIN_ADVISOR_RESIST_COUNCIL       | ¿Creían que nos quedaríamos de brazos cruzados y dejaríamos que impusieran una paz de cobardes sobre la galaxia así? ¡Iniciemos las incursiones, Khan: nuestra gente está ansiosa por conseguir algún tesoro!
MAIN_ADVISOR_COUNCIL_RESISTED     | ¡Esos rebeldes tontos se niegan a nuestra decisión! ¡Mostrémosles nuestro dictamen: el fuerte toma, el débil da!

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Tus preciados tesoros ahora quedan libres para ser tomados...#Las temibles flotas de saqueadores del Khanato que atacaban como relámpagos fantasmales alguna vez hicieron que civilizaciones enteras temieran alejarse demasiado de sus hogares. En tu apogeo, tomaste la riqueza de civilizaciones enteras y la añadiste a tesoros que contenían reliquias provenientes de cientos de mundos. Pero parece que, por necedad, arrogancia, codicia o alguna combinación de ellas, tu pueblo finalmente encontró enemigos que resultaron ser más de lo que podían manejar. Y cuando estos enemigos pasaron a la ofensiva, fuiste incapaz de evitar el destino que ahora ha caído sobre ti.#El simple rumor de una flota Fiershan inminente hacía que sistemas estelares enteros temblaran de miedo. Ahora tu pueblo ha sido borrado de esta galaxia, quedando solo como historias de fantasmas para asustar a los niños de los vencedores y hacerlos comportarse mejor. Y tus preciados tesoros, tomados de tantos mundos, han sido robados y colocados en hogares adinerados y museos: ahora reliquias de un pasado distante, al igual que tu pueblo...
GAME_OVER_MILITARY_WIN2           | ¡Los tesoros de esta galaxia son tuyos para ser tomados!#En esta noche, toda la superficie de tu mundo natal estalla en rugidos que celebran la victoria suprema de tu pueblo. Pues esta noche es la primera de la nueva era, donde solo los Khanatos Fiershan dominan la galaxia. Lo que una vez comenzó como simples incursiones por botín y renombre terminó convirtiéndose en una campaña a gran escala que abarcó planetas, sistemas estelares y, finalmente, la totalidad de la galaxia conocida. Contra todo pronóstico y frente a todos los desafiantes, cada otro imperio ha caído bajo el peso de tu ferocidad y poder abrumadores.#Con rivales más débiles cayendo ante ti uno tras otro, tu pueblo no vio necesidad de aliados. Rechazando los enredos políticos y la penosa monotonía de la diplomacia, has tomado la última de las fortalezas que se alzaban contra ti, y el botín de mil mundos ahora está a tu alcance. Y cuando esta galaxia te haya dado todo lo que tiene, ¡ay de aquellos que habiten en estrellas aún más lejanas! Temblarán ante tu llegada, y su botín también será tuyo, por cualquier medio necesario...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | El botín de esta galaxia para ti y tus aliados...#Tus incursiones finalmente han dado frutos relucientes de un valor inconmensurable. Desde tus primeros pasos en la diplomacia, quedó claro que tu orgullosa cultura jamás podría coexistir pacíficamente con aquellos que poseían tesoros tan maravillosos sin la fuerza para defenderlos. Sabías que las guerras serían inevitables. Pero, sorprendentemente, encontraste a otros en las profundidades del espacio que no solo tenían la fuerza para defender sus propios botines, sino también el interés de aumentar sus arcas.#Junto a tus aliados libraste guerras de las que se hablará en las leyendas hasta el fin de los tiempos. Compartieron conquistas y riquezas por igual. Mientras los cuerpos de tus frágiles enemigos yacen destrozados en el camino hacia el futuro, solo queda dividir el botín y deleitarse en la emoción de la victoria. Pero una advertencia, Khan Dorado: sin importar cuán firmemente lucharon tus aliados a tu lado, aquellos con ojo para el oro pueden posar su mirada sobre sus amigos cuando ya no queden enemigos con tesoros maduros para ser tomados...
GAME_OVER_COUNCIL_LOSS2           | Tus incursiones, y tu forma de vida, han llegado a un final abrupto...#La mayor amenaza para la cultura de tu pueblo finalmente se ha hecho realidad. Tras incontables años explorando el espacio y conquistando las estrellas, los diversos imperios que conforman esta galaxia han decidido dejar atrás las disputas del pasado y unirse en una coexistencia unificada a la que llaman la Nueva República. Y como toda nueva era merece nuevos líderes, el Consejo Galáctico ha elegido a uno para guiarlos hacia esta nueva edad. Basta decir que no te eligieron a ti.#Aunque intentaste lo mejor posible la vía diplomática, la coexistencia armoniosa nunca ha sido el fuerte de tu pueblo. La desconfianza surgida de tus constantes incursiones y las viejas heridas infligidas a quienes las sufrieron provocaron que tu posición diplomática en el consejo quedara irrevocablemente manchada. Con la unidad de la galaxia ahora como una certeza que no puedes eludir, tus incursiones por tesoro y gloria han llegado a un fin permanente. Tu pueblo debe adaptarse a esta nueva era, o morir en el intento...
GAME_OVER_REBELLION_LOSS2         | Tus preciados tesoros ahora quedan libres para ser tomados...#Los días en que tu pueblo saqueaba esta galaxia de sus más maravillosos tesoros han llegado a su fin. Con la formación de la Nueva República y la unificación de la galaxia bajo el estandarte de la raza [leader_race], sabías que los ritos sagrados de la cultura de tu pueblo estarían condenados si no te rebelabas contra la llegada de esta nueva era equivocada. Pero, ya fuera por obediencia ciega a su nuevo amo o por el miedo a tu pueblo y la reputación que se ha ganado a lo largo de la galaxia, luchaste esta rebelión en soledad.#Tus rivales sabían que no podían enfrentarse solos a los ejércitos Fiershan y salir victoriosos, por lo que unieron sus recursos y flotas, luchando hombro con hombro contra tu rebelión. Aunque tu pueblo combatió con la legendaria tenacidad que ha inspirado temor en toda la galaxia, ni ellos ni tú podían igualar a las fuerzas combinadas de la Nueva República. Ahora tu rebelión llega a un final de lo más desafortunado, y todo lo que queda para los vencedores es reclamar tu botín para sí mismos...
