

//
// Armor techs
// 
ARMOR_0_NAME     | Blindaje de titanio
ARMOR_0_ITEM     | Titanio
ARMOR_0_BRIEF    | Puntos de vida %1
ARMOR_0_DETAIL   | Tecnología de blindaje inicial. Sin bonificaciones al blindaje de naves ni a los ataques terrestres.

ARMOR_1_NAME     | Blindaje de duraloy
ARMOR_1_ITEM     | Duraloy
ARMOR_1_BRIEF    | Puntos de vida %1
ARMOR_1_DETAIL   | Aumenta los puntos de vida de naves y transportes en un 50%. El blindaje de combate personal también se mejora, añadiendo 5 a todos los ataques terrestres.

ARMOR_2_NAME     | Blindaje de zortrio
ARMOR_2_ITEM     | Zortrio
ARMOR_2_BRIEF    | Puntos de vida %1
ARMOR_2_DETAIL   | Aumenta los puntos de vida de naves y transportes en un 100%. El blindaje de combate personal también se mejora, añadiendo 10 a todos los ataques terrestres.

ARMOR_3_NAME     | Blindaje de andrio
ARMOR_3_ITEM     | Andrio
ARMOR_3_BRIEF    | Puntos de vida %1
ARMOR_3_DETAIL   | Aumenta los puntos de vida de naves y transportes en un 150%. El blindaje de combate personal también se mejora, añadiendo 15 a todos los ataques terrestres.

ARMOR_4_NAME     | Blindaje de tritanio
ARMOR_4_ITEM     | Tritanio
ARMOR_4_BRIEF    | Puntos de vida %1
ARMOR_4_DETAIL   | Aumenta los puntos de vida de naves y transportes en un 200%. El blindaje de combate personal también se mejora, añadiendo 20 a todos los ataques terrestres.

ARMOR_5_NAME     | Blindaje de adamantio
ARMOR_5_ITEM     | Adamantio
ARMOR_5_BRIEF    | Puntos de vida %1
ARMOR_5_DETAIL   | Aumenta los puntos de vida de naves y transportes en un 250%. El blindaje de combate personal también se mejora, añadiendo 25 a todos los ataques terrestres.

ARMOR_6_NAME     | Blindaje de neutronio
ARMOR_6_ITEM     | Neutronio
ARMOR_6_BRIEF    | Puntos de vida %1
ARMOR_6_DETAIL   | Aumenta los puntos de vida de naves y transportes en un 300%. El blindaje de combate personal también se mejora, añadiendo 30 a todos los ataques terrestres.



//
// Atmospheric Terraforming techs
// 
ATMOSPHERE_0_NAME      | Terraformación atmosférica
ATMOSPHERE_0_DETAIL    | Convierte entornos hostiles en entornos normales por un costo de 150 BC.


//
// Automated Repair techs
// 
AUTOREPAIR_0_NAME      | Sistema de reparación automatizado
AUTOREPAIR_0_BRIEF     | Repara el 15% de los puntos de vida de la nave por turno
AUTOREPAIR_0_DETAIL    | Las naves no destruidas pueden reparar hasta el 15% de sus puntos de vida totales al final de cada turno.

AUTOREPAIR_1_NAME      | Control de daños avanzado
AUTOREPAIR_1_BRIEF     | Repara el 30% de los puntos de vida de la nave por turno
AUTOREPAIR_1_DETAIL    | Las naves no destruidas pueden reparar hasta el 30% de sus puntos de vida totales al final de cada turno.



//
// Battle Computer techs
// 
// this is the Ship Design entry for selecting no battle computer
COMPUTER_0_NAME    | 
COMPUTER_0_ITEM    | 
COMPUTER_0_BRIEF   | Nivel de ataque 0
COMPUTER_0_DETAIL  | 

COMPUTER_1_NAME    | Computadora de combate Mark I
COMPUTER_1_ITEM    | Mark I
COMPUTER_1_BRIEF   | Nivel de ataque I
COMPUTER_1_DETAIL  | Aumenta la precisión de las armas al nivel 1.

COMPUTER_2_NAME    | Computadora de combate Mark II
COMPUTER_2_ITEM    | Mark II
COMPUTER_2_BRIEF   | Nivel de ataque II
COMPUTER_2_DETAIL  | Aumenta la precisión de las armas al nivel 2.

COMPUTER_3_NAME    | Computadora de combate Mark III
COMPUTER_3_ITEM    | Mark III
COMPUTER_3_BRIEF   | Nivel de ataque III
COMPUTER_3_DETAIL  | Aumenta la precisión de las armas al nivel 3.

COMPUTER_4_NAME    | Computadora de combate Mark IV
COMPUTER_4_ITEM    | Mark IV
COMPUTER_4_BRIEF   | Nivel de ataque IV
COMPUTER_4_DETAIL  | Aumenta la precisión de las armas al nivel 4.

COMPUTER_5_NAME    | Computadora de combate Mark V
COMPUTER_5_ITEM    | Mark V
COMPUTER_5_BRIEF   | Nivel de ataque V
COMPUTER_5_DETAIL  | Aumenta la precisión de las armas al nivel 5.

COMPUTER_6_NAME    | Computadora de combate Mark VI
COMPUTER_6_ITEM    | Mark VI
COMPUTER_6_BRIEF   | Nivel de ataque VI
COMPUTER_6_DETAIL  | Aumenta la precisión de las armas al nivel 6.

COMPUTER_7_NAME    | Computadora de combate Mark VII
COMPUTER_7_ITEM    | Mark VII
COMPUTER_7_BRIEF   | Nivel de ataque VII
COMPUTER_7_DETAIL  | Aumenta la precisión de las armas al nivel 7.

COMPUTER_8_NAME    | Computadora de combate Mark VIII
COMPUTER_8_ITEM    | Mark VIII
COMPUTER_8_BRIEF   | Nivel de ataque VIII
COMPUTER_8_DETAIL  | Aumenta la precisión de las armas al nivel 8.

COMPUTER_9_NAME    | Computadora de combate Mark IX
COMPUTER_9_ITEM    | Mark IX
COMPUTER_9_BRIEF   | Nivel de ataque IX
COMPUTER_9_DETAIL  | Aumenta la precisión de las armas al nivel 9.

COMPUTER_10_NAME   | Computadora de combate Mark X
COMPUTER_10_ITEM   | Mark X
COMPUTER_10_BRIEF  | Nivel de ataque X
COMPUTER_10_DETAIL | Aumenta la precisión de las armas al nivel 10.

COMPUTER_11_NAME   | Computadora de combate Mark XI
COMPUTER_11_ITEM   | Mark XI
COMPUTER_11_BRIEF  | Nivel de ataque XI
COMPUTER_11_DETAIL | Aumenta la precisión de las armas al nivel 11.



//
// Battle Suit techs for ground combat
// 
// this is for default, no-bonus armor that player starts with
BATTLESUIT_0_NAME    | Blindaje
BATTLESUIT_0_DETAIL  | 

BATTLESUIT_1_NAME    | Trajes de combate
BATTLESUIT_1_DETAIL  | Blindaje que no solo protege, sino que también aumenta la fuerza. Añade 10 a todas las tiradas de combate terrestre.

BATTLESUIT_2_NAME    | Exoesqueleto blindado
BATTLESUIT_2_DETAIL  | Trajes móviles avanzados que no solo aumentan la potencia y mejoran las defensas, sino que también ofrecen vuelo limitado a las tropas terrestres. Añade 20 a todas las tiradas de combate terrestre.

BATTLESUIT_3_NAME    | Armadura motorizada
BATTLESUIT_3_DETAIL  | Combina alta movilidad, vuelo antigravitatorio y un pesado blindaje para formar la armadura más avanzada disponible para las tropas terrestres. Añade 30 a todas las tiradas de combate terrestre.



//
// Energy Focus techs for beam weapons
// 
BEAMFOCUS_0_NAME    | Enfoque de alta energía
BEAMFOCUS_0_BRIEF   | Añade +3 al alcance de las armas de energía
BEAMFOCUS_0_DETAIL  | Aumenta el alcance de disparo de todas las armas de energía en tres.

BEAMFOCUS_1_NAME    | Interfaz Oráculo
BEAMFOCUS_1_BRIEF   | Concentra armas de rayo, reduce a la mitad el escudo enemigo
BEAMFOCUS_1_DETAIL  | Coordina todos los ataques de armas de rayo en una única ráfaga simultánea de fuego concentrado, reduciendo a la mitad la fuerza de los escudos enemigos.



//
// Biological antidote techs 
// 
BIOANTIDOTE_0_NAME    | Antídoto de biotoxinas
BIOANTIDOTE_0_DETAIL  | Reduce las bajas causadas por armas biológicas en 1M por ataque.

BIOANTIDOTE_1_NAME    | Antídoto universal
BIOANTIDOTE_1_DETAIL  | Reduce las bajas causadas por armas biológicas en 2M por ataque.



//
// Biological weapon techs 
// 
BIOWEAPON_0_NAME     | Esporas mortales
BIOWEAPON_0_BRIEF    | Arma biológica
BIOWEAPON_0_DETAIL   | Horribles armas biológicas capaces de reducir la población máxima planetaria en 1M por ataque.

BIOWEAPON_1_NAME     | Virus del Juicio Final
BIOWEAPON_1_BRIEF    | Arma biológica
BIOWEAPON_1_DETAIL   | Terribles armas biológicas capaces de reducir la población planetaria en 2M por ataque.

BIOWEAPON_2_NAME     | Bio-Terminator
BIOWEAPON_2_BRIEF    | Arma biológica
BIOWEAPON_2_DETAIL   | Abominables armas biológicas capaces de reducir la población planetaria en 3M por ataque.


//
// Black Hole Generator tech
//
BLACKHOLE_0_NAME     | Generador de Agujero Negro
BLACKHOLE_0_DETAIL   | Crea un campo de subespacio que deforma el espacio normal, generando un agujero negro que destruye entre el 25% y el 100% de las naves enemigas o bases de misiles, menos un 2% por cada nivel de escudo.



//
// Bomb weapon tech
//
BOMB_0_NAME     | Bomba Nuclear
BOMB_0_BRIEF    | Solo Ataques Terrestres
BOMB_0_DETAIL   | Bombas que explotan causando entre 3 y 12 puntos de daño únicamente a objetivos terrestres.

BOMB_1_NAME     | Bomba de Fusión
BOMB_1_BRIEF    | Solo Ataques Terrestres
BOMB_1_DETAIL   | Bombas que explotan causando entre 5 y 20 puntos de daño únicamente a objetivos terrestres.

BOMB_2_NAME     | Bomba de Antimateria
BOMB_2_BRIEF    | Solo Ataques Terrestres
BOMB_2_DETAIL   | Bombas que explotan causando entre 10 y 40 puntos de daño únicamente contra objetivos planetarios.

BOMB_3_NAME     | Bomba Omega-V
BOMB_3_BRIEF    | Solo Ataques Terrestres
BOMB_3_DETAIL   | Bombas que explotan causando entre 20 y 50 puntos de daño únicamente a objetivos terrestres.

BOMB_4_NAME     | Bomba de Neutronio
BOMB_4_BRIEF    | Solo Ataques Terrestres
BOMB_4_DETAIL   | Bombas que explotan causando entre 40 y 70 puntos de daño únicamente a objetivos terrestres.



//
// Cloaking tech
//
CLOAK_0_NAME     | Dispositivo de Camuflaje
CLOAK_0_BRIEF    | Vuelve la nave casi invisible
CLOAK_0_DETAIL   | Vuelve la nave casi invisible hasta que ataca, mejorando sus defensas en +5. Las naves deben desactivar el camuflaje para atacar y se volverán a camuflar automáticamente en cualquier turno en el que no ataquen.



//
// Cloning tech
//
CLONE_0_NAME     | Clonación
CLONE_0_DETAIL   | Permite que colonos bioingenierizados se generen a una tasa de 1M por cada 10 BC.

CLONE_1_NAME     | Clonación Avanzada
CLONE_1_DETAIL   | Permite que colonos bioingenierizados se generen a una tasa de 1M por cada 5 BC.



//
// Combat Transporter tech
//
COMBATTRANSPORT_0_NAME     | Transportes de Combate
COMBATTRANSPORT_0_DETAIL   | Los transportes equipados con estos dispositivos tienen un 50% de probabilidad de teletransportarse a la superficie enemiga antes de poder ser atacados por naves enemigas o bases de defensa con misiles.



//
// Control Environment tech
//
CONTROLENV_0_NAME    | Entorno Normal Controlado
CONTROLENV_0_ITEM    | Base Colonial Estándar
CONTROLENV_0_BRIEF   | Permite Desembarcos en Planetas Normales
CONTROLENV_0_DETAIL  | Permite la colonización de planetas estándar.

CONTROLENV_1_NAME    | Entorno Árido Controlado
CONTROLENV_1_ITEM    | Base Colonial Árida
CONTROLENV_1_BRIEF   | Permite Desembarcos en Planetas Áridos
CONTROLENV_1_DETAIL  | Permite la colonización de planetas áridos y menos hostiles.

CONTROLENV_2_NAME    | Entorno Tundra Controlado
CONTROLENV_2_ITEM    | Base Colonial de Tundra
CONTROLENV_2_BRIEF   | Permite Desembarcos en Planetas Tundra
CONTROLENV_2_DETAIL  | Permite la colonización de planetas tundra y menos hostiles.

CONTROLENV_3_NAME    | Entorno Muerto Controlado
CONTROLENV_3_ITEM    | Base Colonial Muerta
CONTROLENV_3_BRIEF   | Permite Desembarcos en Planetas Muertos
CONTROLENV_3_DETAIL  | Permite la colonización de planetas muertos y menos hostiles.

CONTROLENV_4_NAME    | Entorno Infernal Controlado
CONTROLENV_4_ITEM    | Base Colonial Infernal
CONTROLENV_4_BRIEF   | Permite Desembarcos en Planetas Inferno
CONTROLENV_4_DETAIL  | Permite la colonización de planetas infernales y menos hostiles.

CONTROLENV_5_NAME    | Entorno Tóxico Controlado
CONTROLENV_5_ITEM    | Base Colonial Tóxica
CONTROLENV_5_BRIEF   | Permite Desembarcos en Planetas Tóxicos
CONTROLENV_5_DETAIL  | Permite la colonización de planetas tóxicos y menos hostiles.

CONTROLENV_6_NAME    | Entorno Irradiado Controlado
CONTROLENV_6_ITEM    | Base Colonial Irradiada
CONTROLENV_6_BRIEF   | Permite Desembarcos en Planetas Irradiados
CONTROLENV_6_DETAIL  | Permite la colonización de planetas irradiados y menos hostiles.



//
// Deflector Shield tech
//
// this is the entry on Ship Design for selecting no deflector shield
DEFLECTOR_0_NAME      | 
DEFLECTOR_0_ITEM      |   
DEFLECTOR_0_BRIEF     |  
DEFLECTOR_0_DETAIL    | 

DEFLECTOR_1_NAME      | Escudos Deflectores Clase I
DEFLECTOR_1_ITEM      | Clase I
DEFLECTOR_1_BRIEF     | Absorbe 1 impacto
DEFLECTOR_1_DETAIL    | Absorbe 1 punto de daño de todos los ataques.

DEFLECTOR_2_NAME      | Escudos Deflectores Clase II
DEFLECTOR_2_ITEM      | Clase II
DEFLECTOR_2_BRIEF     | Absorbe 2 impactos
DEFLECTOR_2_DETAIL    | Absorbe 2 puntos de daño de todos los ataques.

DEFLECTOR_3_NAME      | Escudos Deflectores Clase III
DEFLECTOR_3_ITEM      | Clase III
DEFLECTOR_3_BRIEF     | Absorbe 3 impactos
DEFLECTOR_3_DETAIL    | Absorbe 3 puntos de daño de todos los ataques.

DEFLECTOR_4_NAME      | Escudos Deflectores Clase IV
DEFLECTOR_4_ITEM      | Clase IV
DEFLECTOR_4_BRIEF     | Absorbe 4 impactos
DEFLECTOR_4_DETAIL    | Absorbe 4 puntos de daño de todos los ataques.

DEFLECTOR_5_NAME      | Escudos Deflectores Clase V
DEFLECTOR_5_ITEM      | Clase V
DEFLECTOR_5_BRIEF     | Absorbe 5 impactos
DEFLECTOR_5_DETAIL    | Absorbe 5 puntos de daño de todos los ataques.

DEFLECTOR_6_NAME      | Escudos Deflectores Clase VI
DEFLECTOR_6_ITEM      | Clase VI
DEFLECTOR_6_BRIEF     | Absorbe 6 impactos
DEFLECTOR_6_DETAIL    | Absorbe 6 puntos de daño de todos los ataques.

DEFLECTOR_7_NAME      | Escudos Deflectores Clase VII
DEFLECTOR_7_ITEM      | Clase VII
DEFLECTOR_7_BRIEF     | Absorbe 7 impactos
DEFLECTOR_7_DETAIL    | Absorbe 7 puntos de daño de todos los ataques.

DEFLECTOR_8_NAME      | Escudos Deflectores Clase IX
DEFLECTOR_8_ITEM      | Clase IX
DEFLECTOR_8_BRIEF     | Absorbe 9 impactos
DEFLECTOR_8_DETAIL    | Absorbe 9 puntos de daño de todos los ataques.

DEFLECTOR_9_NAME      | Escudos Deflectores Clase XI
DEFLECTOR_9_ITEM      | Clase XI
DEFLECTOR_9_BRIEF     | Absorbe 11 impactos
DEFLECTOR_9_DETAIL    | Absorbe 11 puntos de daño de todos los ataques.

DEFLECTOR_10_NAME     | Escudos Deflectores Clase XIII
DEFLECTOR_10_ITEM     | Clase XIII
